Progress,Duration (in seconds),Finished,ResponseId,Q1-Intro,Q3-Intro,Q14,Q15,Q15_11_TEXT,Q17,Q18,Q18_11_TEXT,Q19,Q19_4_TEXT,Q20,Q21,Q21_13_TEXT,Q24,Q25,Q25_13_TEXT,Q32,Q32_14_TEXT,Q33,Q33_17_TEXT,Q34,Q34_23_TEXT,Q35_8_TEXT,Q14-FNR,Q36,County,Q37,Q38,Q39,Q39_12_TEXT,Q40,Q41,Q42,Q42_4_TEXT,Q43,Q43_7_TEXT,Q44,Q44_14_TEXT,Q45
100,1115,TRUE,R_1o7MRfcbzHrvs3e,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources,Local and/or Homeowners Association rules and regulations",,No,,,,,,,,,,,"Ecosystem restoration,Post-wildfire recovery,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Reading factsheets",,"Email,Website",,,,92021,San Diego,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,Over 70,Man,,White,,English,,"$50,000 - $100,000 per year"
100,2308,TRUE,R_3oZaRFDNrmpsofi,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Cost,Time",,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of medium and large trees through timber harvest,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,"Out of pocket,Grants",Resource Conservation District (RCD),,Yes,"Help preparing my property to conduct a prescribed burn,Information about prescribed fire benefits,Information about planning and implementation,Labor resources,Training to learn how to safely conduct a prescribed burn",,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Home hardening",,"Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,Mail,Website",,,,93644,Madera,,,,,,,Woman,,Prefer not to answer,,English,,
100,1022,TRUE,R_1LUWYL1oFGvsHyq,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials,Other (please specify):","Availability of contractors,Cost,Other (please specify)","The other half of my duplex is rented and owned by a landlord outside the area. It lacks double-paned windows and could imperil my home if it caught fire. I'm not sure how to address this, as new windows are expensive.",Yes,Other (please specify):,Removal of dead leaves. HOA is responsible for all other landscaping work.,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Available grants for fuels reduction treatments and how to apply,Evacuation planning,Reducing health impacts from wildfire smoke",,"Community events or town halls,Field tours to local properties,In-person workshops,Webinars",,"Email,In-person,Social media ",,,,,,,,,,,,,,,,,,
100,417,TRUE,R_1jUv4G8EFEI4Qpi,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources",,No,,,,,,,,Yes,"Clarity on relevant laws and liability associated with burning,Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about planning and implementation,Training to learn how to safely conduct a prescribed burn",,Prescribed fire planning and implementation,,"Field tours to local properties,In-person workshops",,"Email,Text Message",,,,94530,Contra Costa,,,,,,,Man,,White,,English,,
100,1508,TRUE,R_3qpM8AAEIkP1VN3,Yes,No,"Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Cost,Permitting",,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass,Other (please specify):",Limbing up low hanging tree branches,Did some myself and hired a contractor,,Out of pocket,,,Yes,"Access to equipment,Financial assistance,Help preparing my property to conduct a prescribed burn,Labor resources",,"Ecosystem restoration,Evacuation planning,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops",,"Email,Newspaper,Radio,Website",,,,95959,Nevada,,,,,,,Woman,,Prefer not to answer,,English,,
100,565,TRUE,R_2wvlIpj6qEpQFth,Yes,No,"No, I have not completed home retrofitting or remodeling","Availability of contractors,Existing home design constraints,Permitting",,No,,,,,,,,No,,,"Available grants for fuels reduction treatments and how to apply,Defensible space",,Webinars,,Mail,,,,95076,Santa Cruz,Rural,0-5 acres,Recreation,,No,61-70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,341,TRUE,R_3qq87jBviyLmrht,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Cost,Existing home design constraints,Permitting",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,Out of pocket,,,,,,"Available grants for fuels reduction treatments and how to apply,Defensible space,Home hardening",,"Community events or town halls,Watching short videos,Webinars",,"Email,Text Message,Website",,,,95030,Santa Clara,,,,,,,Man,,"Hispanic, Latino/a/x, or other Spanish origin",,English,,
100,370,TRUE,R_UF8wUlq9eglm4bD,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man,,Prefer not to answer,,English,,
100,787,TRUE,R_3fqsps0Rl6aD9b5,Yes,Yes,,,,,,,,,,,,,,,Available grants for fuels reduction treatments and how to apply,,"In-person workshops,Webinars",,"Email,Text Message",,,Yes,,,,,,,,,Man,,White,,English,,
100,467,TRUE,R_2pKNkCF6tUufmPY,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,Text Message",,,Yes,,,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,521,TRUE,R_1Ishhwu3dc96aGe,Yes,No,,"Availability of contractors,Communicating with my landlord or property manager,Cost,Time",,No,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Permitting for fuels mitigation work",,"In-person workshops,Reading factsheets,Watching short videos",,Email,,,,95971,Plumas,,,,,,,Woman,,White,,English,,
100,6669,TRUE,R_1CdbO2aQAKWzGSa,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ","Cost,Time,Other (please specify)","Keeping peace - the person who wants to do the work is slow to do it, though has done a lot.",Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Targeted grazing,Weed trimming and/or mowing grass",,Worked with neighbors or community group,,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,Unsure,Other (please explain),"We are supportive, but I don't know if it would work on our property. Small.","Available grants for fuels reduction treatments and how to apply,Permitting for fuels mitigation work,Post-wildfire recovery,Prescribed fire planning and implementation",,"Community events or town halls,Reading factsheets,Watching short videos,Webinars",,"Email,Text Message,Website",,,,95045,San Benito,,,,,,,Woman,,White,,English,,
100,578,TRUE,R_uqPaVYtEXRHU1mp,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Permitting for fuels mitigation work,Other (please specify)",Better public outreach around RxF,"Field tours to local properties,In-person workshops,Reading factsheets,Other (please specify)","Templates, outreach examples","Email,In-person",,,Yes,,,,,,,,,Woman,,"Hispanic, Latino/a/x, or other Spanish origin",,"English,Spanish",,
100,709,TRUE,R_22ReAItkQVJHtYh,Yes,No,"Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials,Other (please specify):",Cost,,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did it myself,,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,Yes,"Help preparing my property to conduct a prescribed burn,Training to learn how to safely conduct a prescribed burn",,"Available grants for fuels reduction treatments and how to apply,Prescribed fire planning and implementation",,In-person workshops,,"Email,Other (please specify)",Any of these,,,95045,San Benito,,,,,,,Man,,White,,English,,
100,671,TRUE,R_8uma6T1L1rq9Q41,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ","Cost,Existing home design constraints,Time",,Yes,"Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass,Other (please specify):",Removal of large trees and chipping them,Did some myself and hired a contractor,,Out of pocket,,,Yes,"Clarity on relevant laws and liability associated with burning,Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about planning and implementation,Training to learn how to safely conduct a prescribed burn",,"Ecosystem restoration,Grazing for fuels reduction,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops,Watching short videos,Webinars",,"Email,Social media ,Text Message,Website",,,,95033,Santa Clara,Rural,6-10 acres,"Not applicable, my property is only used for residential use,Farming and/or agriculture,Wildlife habitat",,No,61-70,Man,,White,,English,,"Less than $50,000 per year"
100,566,TRUE,R_3J9IpSzwNYkFvEC,Yes,Yes,,,,,,,,,,,,,,,,,,,Email,,,,,,,,,,,,Woman,,"Asian,White",,English,,
100,1621,TRUE,R_2wGFNb9legAns61,Yes,Yes,,,,,,,,,,,,,,,"Prescribed fire planning and implementation,Other (please specify)","Erosion mitigation, drainage, native species selection for landscape fire management","Field tours to local properties,Webinars,Other (please specify)",Teaching what has been learned here,"Email,In-person,Telephone,Text Message,Website",,,Yes,,,,,,,,,Man,,White,,English,,
100,2406,TRUE,R_2zUBZ98wYG4tMgo,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,,,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,,,,"Ecosystem restoration,Post-wildfire recovery,Prescribed fire planning and implementation",,"In-person workshops,Other (please specify)",Updates to Wildlands Firefighter certification,Email,,,,95003,Santa Cruz,Rural,6-10 acres,Other (please specify),We have a smal petting zoo open to the public on the property.,,Over 70,Man,,White,,English,,Prefer not to state
