ZIP_CODE,REGION,County,ResponseId,DistributionChannel,Q1.Intro,Q3.Intro,Q14,Q15,Q15_11_TEXT,Q17,Q18,Q18_11_TEXT,Q19,Q19_4_TEXT,Q20,Q21,Q21_13_TEXT,Q24,Q25,Q25_13_TEXT,Q32,Q32_14_TEXT,Q33,Q33_17_TEXT,Q34,Q34_23_TEXT,Q37,Q38,Q39,Q39_12_TEXT,Q40,Q41,Q42,Q42_4_TEXT,Q43,Q43_7_TEXT,Q44,Q44_14_TEXT,Q45,,,,,,,,,,
90001,SouthernCalifornia,Los Angeles,R_1MVR39A0UVsUzq8,anonymous,Yes,No,"Purchased a backup power source (e.g., generator)",Existing home design constraints,,Yes,Prescribed fire (a controlled fire set intentionally to meet management objectives under applicable laws and regulations),,Did it myself,,Out of pocket,,,Yes,Clarity on relevant laws and liability associated with burning,,"Ecosystem restoration,Post-wildfire recovery",,Reading factsheets,,Email,,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,No,31-40,Man,,White,,English,,"Greater than $150,000 per year",,,,,,,,,,
90017,SouthernCalifornia,Los Angeles,R_0JLl9N27IqKu7C1,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Communicating with my landlord or property manager,Existing home design constraints,Lack of knowledge, information, or resources",,Yes,"Hand thinning and scattering small trees and brush ,Removal of medium and large trees through timber harvest",,Did some myself and hired a contractor,,Grants,"Natural Resource Conservation Service (NRCS),USDA Forest Service",,Yes,"Access to equipment,Help preparing my property to conduct a prescribed burn",,"Defensible space,Ecosystem restoration,Grazing for fuels reduction",,Reading factsheets,,,,Rural,11-20 acres,Livestock/grazing,,No,Over 70,Man,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
90018,SouthernCalifornia,Los Angeles,R_1hYBW6pqmQISBaa,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Cost,Lack of knowledge, information, or resources,Permitting",,Yes,"Removal of medium and large trees through timber harvest,Weed trimming and/or mowing grass",,Worked with neighbors or community group,,"My only cost was personal labor (myself, friends, and family)",,,Yes,"Access to equipment,Information about prescribed fire benefits,Training to learn how to safely conduct a prescribed burn",,"Defensible space,Ecosystem restoration,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,Webinars",,"Email,Telephone,Website",,Urban,0-5 acres,"Not applicable, my property is only used for residential use,Recreation",,No,Over 70,Man,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
90027,SouthernCalifornia,Los Angeles,R_1eIXRwbRTeTAl6z,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.,Purchased an air filtration system for home to use during wildfire smoke events,Removed vegetation and other combustible material within the first 0-5 feet of my home ","Availability of contractors,Cost,Permitting",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,Out of pocket,,,No,,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"Field tours to local properties,In-person workshops,Reading factsheets",,"In-person,Text Message",,Rural,0-5 acres,"Farming and/or agriculture,Recreation,Wildlife habitat",,No,61-70,Woman,,White,,"English,Spanish",,"$100,001 - $150,000 per year",,,,,,,,,,
90042,SouthernCalifornia,Los Angeles,R_11jfuzRE0lYuBGy,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Cost,Lack of knowledge, information, or resources,Permitting",,Yes,"Prescribed fire (a controlled fire set intentionally to meet management objectives under applicable laws and regulations),Targeted grazing,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,Yes,"Access to equipment,Clarity on relevant laws and liability associated with burning,Help navigating the permitting process,Training to learn how to safely conduct a prescribed burn",,"Available grants for fuels reduction treatments and how to apply,Defensible space,Evacuation planning",,"Community events or town halls,Field tours to local properties,In-person workshops,Webinars",,"Email,In-person,Telephone,Website",,,,,,,,Man,,White,,"English,Spanish",,,,,,,,,,,,
90049,SouthernCalifornia,Los Angeles,R_3h3Ea15ChHHsmIo,anonymous,Yes,No,Other (please specify):,,,No,,,,,,,,,,,"Evacuation planning,Home hardening,Post-wildfire recovery",,In-person workshops,,"Email,In-person,Website",,,,,,,,Woman,,Asian,,English,,,,,,,,,,,,
90221,SouthernCalifornia,Los Angeles,R_7QUGHhikFqCt9ol,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Cost,Existing home design constraints,Lack of knowledge, information, or resources,Local and/or Homeowners Association rules and regulations,Permitting,Time",,No,,,,,,,,,,,"Grazing for fuels reduction,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Permitting for fuels mitigation work,Post-wildfire recovery,Prescribed fire planning and implementation",,"Reading factsheets,Watching short videos,Webinars",,"Email,Mail,Newspaper,Radio,Social media ",,,,,,,,Man,,White,,English,,,,,,,,,,,,
90247,SouthernCalifornia,Los Angeles,R_3oXAPUeRiWK7jgQ,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Cost,Existing home design constraints,Lack of knowledge, information, or resources,Time",,No,,,,,,,,Unsure,"Clarity on relevant laws and liability associated with burning,Financial assistance,Information about prescribed fire benefits,Information about planning and implementation,Training to learn how to safely conduct a prescribed burn",,"Ecosystem restoration,Evacuation planning,Post-wildfire recovery",,Watching short videos,,"Email,Radio,Social media ",,,,,,,,Woman,,White,,English,,,,,,,,,,,,
90255,SouthernCalifornia,Los Angeles,R_7UGIfWhJiTcv7ix,anonymous,Yes,No,"Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Cost,Lack of knowledge, information, or resources,Permitting",,Yes,"Burning piles of cut trees and brush,Prescribed fire (a controlled fire set intentionally to meet management objectives under applicable laws and regulations),Removal of small trees and brush with heavy equipment (e.g., mastication or chipping)",,Did it myself,,Cost-share agreements,Fire Safe Council,,Yes,"Information about prescribed fire benefits,Training to learn how to safely conduct a prescribed burn",,"Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Post-wildfire recovery,Reducing health impacts from wildfire smoke",,"Reading factsheets,Watching short videos",,"Newspaper,Text Message,Website",,,,,,,,Man,,White,,English,,,,,,,,,,,,
90504,SouthernCalifornia,Los Angeles,R_2tJXbTCvT9AjBfk,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Permitting,Time",,No,,,,,,,,,,,"Home hardening,Post-wildfire recovery,Reducing health impacts from wildfire smoke",,"Community events or town halls,Reading factsheets,Watching short videos,Webinars",,"Email,Text Message,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Man,,White,,English,,"$100,001 - $150,000 per year",,,,,,,,,,
